RunNumber,Turbine,m,YawBrMyp,YawBrMzp
93,1,9,3573,4091
93,1,10,3743,4341
93,2,8,3159,3309
93,2,9,3325,3543
93,2,10,3477,3756
94,1,8,1618,1496
94,1,9,1707,1596
94,1,10,1791,1692
94,2,8,1286,1180
94,2,9,1356,1252
94,2,10,1422,1321
95,1,8,5580,4922
95,1,9,5899,5162
95,1,10,6182,5382
95,2,8,5125,4917
95,2,9,5448,5194
95,2,10,5740,5444
96,1,8,3355,3124
96,1,9,3550,3287
96,1,10,3728,3437
96,2,8,2529,2478
96,2,9,2663,2612
96,2,10,2787,2735
97,1,8,3749,4324
97,1,9,3981,4611
97,1,10,4192,4870
97,2,8,4128,4060
97,2,9,4441,4320
97,2,10,4725,4555
98,1,8,2521,2359
98,1,9,2681,2512
98,1,10,2831,2654
98,2,8,2358,2305
98,2,9,2520,2460
98,2,10,2671,2599
99,1,8,5434,5254
99,1,9,5842,5616
99,1,10,6211,5944
99,2,8,5109,4957
99,2,9,5445,5271
99,2,10,5746,5555
100,1,8,3184,3319
100,1,9,3367,3503
100,1,10,3539,3673
100,2,8,2553,2508
100,2,9,2691,2639
100,2,10,2819,2760
101,1,8,4310,4969
101,1,9,4567,5322
101,1,10,4803,5639
101,2,8,3591,3804
101,2,9,3821,4082
101,2,10,4034,4335
102,1,8,1432,1422
102,1,9,1495,1492
102,1,10,1555,1557
102,2,8,1131,1032
102,2,9,1184,1081
102,2,10,1233,1126
103,1,8,5512,5246
103,1,9,5910,5584
103,1,10,6273,5894
103,2,8,5512,5482
103,2,9,5907,5838
103,2,10,6268,6158
104,1,8,4342,4199
104,1,9,4588,4432
104,1,10,4813,4644
104,2,8,3301,3285
104,2,9,3496,3503
104,2,10,3675,3703
105,1,8,5905,6338
105,1,9,6328,6800
105,1,10,6712,7222
105,2,8,5035,5636
105,2,9,5399,6029
105,2,10,5737,6384
106,1,8,3068,3231
106,1,9,3235,3433
106,1,10,3390,3617
106,2,8,2522,2486
106,2,9,2677,2636
106,2,10,2821,2773
107,1,8,3492,3772
107,1,9,3697,4000
107,1,10,3883,4210
107,2,8,3414,3536
107,2,9,3632,3747
107,2,10,3833,3942
108,1,8,2834,3246
108,1,9,2983,3440
108,1,10,3118,3618
108,2,8,2222,2465
108,2,9,2339,2621
108,2,10,2447,2765
109,1,8,5983,4954
109,1,9,6393,5202
109,1,10,6767,5431
109,2,8,4305,3931
109,2,9,4592,4142
109,2,10,4855,4337
110,1,8,2660,2786
110,1,9,2810,2966
110,1,10,2951,3130
110,2,8,2261,2453
110,2,9,2376,2604
110,2,10,2482,2743
111,1,8,5052,5280
111,1,9,5345,5641
111,1,10,5606,5970
