RunNumber,Turbine,m,TwrBsMxt,TwrBsMyt,TwHt1MLxt,TwHt1MLyt,TwHt2MLxt,TwHt2MLyt,TwHt3MLxt,TwHt3MLyt,TwHt4MLxt,TwHt4MLyt,TwHt5MLxt,TwHt5MLyt,TwHt6MLxt,TwHt6MLyt
1651,2,4,5891,19610,5364,17770,4343,14490,3198,10580,2217,7395,1236,4505,675.7,3167
1652,1,3,2596,11520,2353,10430,1904,8314,1381,5949,944.3,4003,527.9,2409,324.9,2081
1652,1,4,3063,13710,2779,12470,2259,9994,1644,7177,1127,4802,639.6,2802,435.6,2334
1652,2,3,2627,10980,2396,9964,1954,8032,1428,5774,960,3871,515.9,2242,289.4,1783
1652,2,4,3070,12870,2803,11700,2291,9496,1676,6840,1124,4552,617,2590,392.6,1997
1653,1,3,3981,11530,3609,10480,2895,8325,2111,6112,1484,4401,839.5,2921,479.4,2421
1653,1,4,4763,15040,4327,13780,3491,11120,2548,8199,1778,5774,998.7,3600,599.9,2730
1653,2,3,3451,10490,3113,9372,2476,7318,1819,5321,1315,3951,793,2818,516.1,2538
1653,2,4,4174,13480,3785,12200,3043,9788,2244,7222,1603,5184,968.9,3400,667.3,2865
1654,1,3,1934,10610,1780,9715,1463,7956,1065,5776,700.2,3785,357,1991,176.3,1244
1654,1,4,2266,12690,2088,11640,1720,9566,1253,6947,824.5,4535,426.5,2345,241.2,1387
1654,2,3,1683,11920,1544,10960,1267,8984,920.4,6548,605.7,4314,311.1,2241,165.6,1282
1654,2,4,1999,14170,1836,13040,1511,10720,1099,7812,722.9,5128,376.8,2626,223.5,1433
1655,1,3,10880,14920,9829,13520,7814,10780,5711,7886,4023,5803,2196,3986,969.2,3377
1655,1,4,12440,18110,11260,16510,8993,13330,6574,9859,4602,7172,2486,4775,1075,3854
1655,2,3,10410,14730,9399,13360,7455,10660,5446,7829,3853,5749,2110,3931,927.4,3313
1655,2,4,11910,17920,10780,16340,8584,13210,6276,9799,4411,7118,2391,4728,1029,3779
1656,1,3,2285,9229,2074,8298,1648,6493,1202,4624,857.6,3246,523.9,2228,365,2204
1656,1,4,2675,11400,2438,10340,1949,8257,1429,5961,1025,4083,656.2,2613,494.9,2509
1656,2,3,2044,8637,1860,7774,1486,6158,1091,4409,764.5,3064,450,2019,301.9,1900
1656,2,4,2375,10410,2165,9437,1741,7589,1288,5494,907.3,3762,559.9,2370,417.8,2160
1657,1,3,3607,12910,3243,11600,2536,9130,1853,6710,1365,4992,837.2,3375,523,2794
1657,1,4,4146,16500,3744,14950,2956,11960,2170,8886,1586,6503,978.5,4169,639.3,3164
1657,2,3,5471,12490,4985,11280,4042,8988,2973,6590,2033,4759,1109,3258,575.1,2791
1657,2,4,6632,15980,6059,14520,4946,11780,3640,8719,2461,6199,1325,4012,710.2,3187
1658,1,3,2998,10570,2752,9663,2263,7846,1654,5671,1103,3784,582.3,2113,300.2,1654
1658,1,4,3522,12820,3241,11790,2673,9678,1959,7050,1311,4702,718.8,2571,433.9,1878
1658,2,3,2497,9736,2290,8896,1886,7243,1374,5245,915.1,3486,481.4,1910,249.5,1423
1658,2,4,2934,11650,2694,10700,2225,8789,1626,6414,1087,4267,594.7,2301,361.6,1616
1659,1,3,6438,12950,5845,11700,4682,9397,3421,6896,2375,4953,1276,3248,564.2,2638
1659,1,4,7595,16680,6910,15170,5564,12330,4066,9110,2799,6437,1484,4029,643.1,3026
1659,2,3,4350,13300,3914,12030,3068,9733,2242,7162,1616,5118,920.6,3270,487.1,2579
1659,2,4,5011,17430,4523,15830,3571,12970,2614,9614,1859,6771,1041,4119,549.9,2962
1660,1,3,2257,8151,2046,7364,1648,5846,1201,4172,833.1,2876,479,1901,307.2,1820
1660,1,4,2597,10000,2358,9113,1909,7355,1400,5301,975.4,3600,587.5,2235,423.9,2004
1660,2,3,1706,8734,1556,7887,1248,6282,915.4,4536,636.2,3134,373.5,1892,252.5,1632
1660,2,4,1996,10530,1829,9560,1479,7709,1095,5619,770.1,3867,476.4,2228,357.9,1800
1661,1,3,2701,9132,2453,8174,1946,6379,1444,4591,1056,3345,660.3,2448,452.8,2326
1661,1,4,3153,11850,2880,10730,2313,8603,1740,6282,1287,4447,845.1,2997,626.4,2642
1661,2,3,2066,8362,1862,7509,1471,5975,1092,4311,803.2,3063,535,2175,408.2,2066
1661,2,4,2437,10920,2210,9936,1770,8107,1340,5938,1003,4121,716.3,2708,595.1,2362
1662,1,3,2422,12800,2225,11750,1836,9649,1346,7084,881.3,4641,439.8,2391,183.2,1310
1662,1,4,2836,15280,2607,14050,2156,11580,1582,8508,1034,5564,517.1,2826,243.2,1453
1662,2,3,2004,11590,1841,10630,1520,8754,1107,6394,723.6,4224,358.9,2166,143.6,1142
1662,2,4,2338,13840,2149,12720,1777,10500,1296,7678,846.3,5062,422.2,2561,188,1257
1663,1,3,6808,16710,6154,15150,4853,12060,3543,8622,2535,6033,1420,3939,712.5,3308
1663,1,4,7898,21730,7163,19740,5681,15820,4158,11310,2947,7798,1628,4863,804.4,3815
1663,2,3,6352,15950,5750,14380,4588,11480,3359,8239,2368,5787,1297,3763,644.9,3140
1663,2,4,7358,20740,6678,18730,5360,15070,3935,10840,2751,7525,1487,4637,728.2,3621
1664,1,3,2896,9105,2634,8171,2146,6428,1573,4652,1095,3370,654.8,2371,464.6,2208
1664,1,4,3494,11780,3193,10730,2625,8668,1937,6379,1349,4443,838.7,2862,657.6,2478
1664,2,3,1946,8605,1766,7768,1403,6147,1028,4430,738.5,3132,480.7,2113,382.4,1942
1664,2,4,2291,10840,2087,9856,1673,7944,1234,5810,899.4,4053,636.6,2567,561.6,2180
1665,1,3,4216,13770,3809,12240,3000,9569,2197,6881,1602,5098,969.8,3752,608.8,3557
1665,1,4,4918,17490,4477,15700,3572,12510,2633,9099,1900,6592,1162,4591,763.5,4149
1665,2,3,6109,14290,5560,12950,4521,10270,3320,7451,2268,5352,1231,3671,621,3332
1665,2,4,7293,18340,6654,16770,5433,13500,4000,9903,2719,7018,1487,4537,807.7,3873
1666,1,3,3659,12180,3364,11130,2773,9027,2031,6495,1340,4249,676.4,2279,279.8,1657
1666,1,4,4197,14380,3860,13160,3188,10730,2336,7735,1542,5046,785.2,2651,371.8,1845
1666,2,3,2310,11670,2122,10630,1745,8694,1279,6282,840.9,4112,427.4,2165,208,1431
1666,2,4,2722,13740,2501,12560,2062,10310,1514,7461,995,4873,509.1,2528,281.5,1596
1667,1,3,6316,14570,5730,13100,4591,10380,3359,7515,2330,5226,1281,3479,634.5,3026
1667,1,4,7263,19100,6600,17270,5316,13820,3895,10060,2687,6890,1475,4362,737.7,3496
1667,2,3,5689,14150,5153,12770,4127,10100,3012,7196,2113,5084,1176,3391,588.1,2889
1667,2,4,6610,18160,5999,16480,4829,13140,3527,9429,2466,6598,1371,4231,695.6,3343
1668,1,3,3095,10410,2823,9382,2288,7468,1671,5301,1133,3668,619.3,2397,345.1,2185
1668,1,4,3644,12610,3329,11430,2706,9257,1981,6656,1336,4580,740.6,2865,448.4,2414
1668,2,3,2804,9855,2568,8904,2086,7096,1522,5103,1035,3489,562.5,2161,307.7,1870
1668,2,4,3238,11790,2970,10700,2420,8638,1769,6281,1204,4288,668.2,2570,404.7,2068
1669,1,3,4377,10580,3984,9464,3195,7425,2341,5377,1637,3929,926.5,2882,536.3,2690
1669,1,4,5175,13280,4726,12000,3816,9637,2802,7069,1946,5056,1106,3451,675.8,3047
1669,2,3,2941,9389,2638,8396,2069,6557,1525,4782,1142,3559,730.1,2670,497.2,2580
1669,2,4,3452,11980,3112,10890,2472,8779,1845,6531,1386,4678,907.5,3208,641,2918
1670,1,3,1831,13300,1683,12220,1386,10110,1017,7416,667.3,4840,335.5,2454,154.4,1155
1670,1,4,2155,15370,1982,14160,1635,11730,1200,8615,787.3,5621,400.9,2841,217.6,1284
1670,2,3,1635,13010,1502,11950,1235,9880,903,7243,591.7,4735,298.4,2387,138.4,1105
1670,2,4,1912,14970,1758,13770,1447,11400,1060,8369,694.6,5468,355.1,2750,192.2,1225
1671,1,3,8334,14620,7534,13130,5974,10490,4330,7643,3070,5491,1712,3725,820.2,3140
1671,1,4,9586,18510,8692,16710,6934,13510,5028,9899,3528,7005,1940,4503,901.5,3581
