RunNumber,Turbine,m,RootMxb1,RootMyb1,Spn1MLxb1,Spn1MLyb1,Spn2MLxb1,Spn2MLyb1,Spn3MLxb1,Spn3MLyb1,Spn4MLxb1,Spn4MLyb1,Spn5MLxb1,Spn5MLyb1,Spn6MLxb1,Spn6MLyb1
1328,2,13,6359,3572,5068,3440,2967,2257,1323,1202,434.5,502.5,66.54,106.4,0.9531,1.81
1329,1,9,6389,4754,4949,4702,2921,3209,1327,1749,446.9,732.8,70.79,148,1.064,2.604
1329,1,10,6519,4986,5046,4915,2979,3359,1355,1835,456.7,769.8,72.47,154.8,1.09,2.721
1329,1,11,6628,5194,5128,5107,3028,3493,1378,1911,465.2,802.9,73.94,160.8,1.113,2.826
1329,1,12,6722,5382,5198,5279,3071,3614,1398,1979,472.7,832.6,75.26,166.2,1.133,2.92
1329,1,13,6805,5553,5259,5435,3108,3722,1416,2040,479.4,859.3,76.45,171.1,1.152,3.004
1329,2,9,6279,4720,4909,4545,2894,3044,1313,1628,438.9,653.5,69.01,134.7,1.022,2.402
1329,2,10,6417,5014,5011,4813,2956,3226,1341,1726,449.1,689.8,70.71,142.3,1.049,2.543
1329,2,11,6535,5280,5098,5057,3007,3392,1366,1815,457.8,723.1,72.2,149.3,1.073,2.674
1329,2,12,6638,5520,5172,5279,3052,3544,1387,1897,465.5,753.5,73.53,155.8,1.095,2.794
1329,2,13,6729,5738,5237,5480,3091,3682,1405,1971,472.4,781.1,74.74,161.7,1.114,2.903
1330,1,9,5846,2623,4611,2772,2688,1802,1198,980.9,388.7,407.8,59.01,83.09,0.8331,1.363
1330,1,10,5984,2780,4719,2905,2751,1889,1226,1031,398.1,427.8,60.5,86.72,0.8547,1.421
1330,1,11,6099,2923,4809,3028,2804,1970,1249,1076,406.1,446.1,61.77,90.03,0.8733,1.474
1330,1,12,6198,3054,4886,3143,2849,2044,1270,1118,412.9,462.9,62.87,93.06,0.8895,1.522
1330,1,13,6283,3172,4952,3249,2888,2112,1287,1156,418.9,478.3,63.84,95.83,0.9039,1.566
1330,2,9,5789,2158,4573,2397,2661,1532,1181,818.5,382.7,332.9,57.64,69.47,0.8108,1.132
1330,2,10,5927,2290,4682,2504,2724,1603,1209,857.7,391.9,348.4,59.07,72.51,0.8314,1.179
1330,2,11,6042,2410,4773,2605,2777,1668,1233,893.4,399.6,362.5,60.28,75.29,0.8489,1.223
1330,2,12,6140,2519,4850,2699,2822,1728,1253,925.9,406.2,375.4,61.32,77.84,0.864,1.263
1330,2,13,6224,2618,4917,2788,2861,1784,1270,955.7,411.9,387.2,62.22,80.18,0.8773,1.301
1331,1,9,6511,8369,5100,7773,3089,5281,1445,2932,497.2,1220,79.23,243.7,1.208,4.272
1331,1,10,6648,8931,5219,8274,3164,5629,1482,3132,510.2,1302,81.42,258.9,1.242,4.509
1331,1,11,6766,9434,5323,8724,3231,5940,1514,3309,521.8,1374,83.38,272.7,1.273,4.722
1331,1,12,6869,9883,5416,9128,3290,6218,1544,3468,532.3,1440,85.17,285.1,1.302,4.916
1331,1,13,6960,10290,5500,9489,3345,6467,1571,3609,542,1498,86.82,296.4,1.328,5.092
1331,2,9,6442,8077,5012,7397,3016,5063,1406,2811,478.8,1169,76.45,233.1,1.17,4.005
1331,2,10,6577,8627,5123,7876,3086,5400,1440,3004,490.7,1249,78.55,248,1.204,4.235
1331,2,11,6694,9117,5220,8306,3148,5701,1469,3175,501.1,1320,80.44,261.5,1.234,4.444
1331,2,12,6796,9554,5306,8691,3203,5970,1496,3328,510.5,1383,82.17,273.5,1.263,4.634
1331,2,13,6886,9944,5382,9036,3252,6211,1520,3465,519.1,1440,83.77,284.4,1.289,4.806
1332,1,9,6394,5075,5027,4883,2982,3289,1364,1801,465.1,769.7,74.98,164.7,1.121,2.922
1332,1,10,6537,5343,5133,5146,3048,3468,1396,1900,477.7,810.5,77.3,173.1,1.157,3.068
1332,1,11,6660,5586,5223,5386,3103,3632,1424,1990,488.9,847.2,79.4,180.7,1.189,3.199
1332,1,12,6767,5807,5301,5604,3152,3780,1449,2071,499,880.2,81.32,187.5,1.218,3.317
1332,1,13,6862,6009,5370,5802,3195,3916,1471,2145,508.3,910,83.09,193.6,1.245,3.425
1332,2,9,6266,4622,4917,4563,2908,3060,1320,1641,445.8,676.8,71.05,143.2,1.049,2.594
1332,2,10,6404,4922,5022,4849,2971,3256,1350,1746,456.6,717.8,73,151.4,1.078,2.752
1332,2,11,6521,5192,5111,5110,3025,3434,1375,1840,466,755.2,74.73,159,1.104,2.898
1332,2,12,6622,5437,5188,5346,3072,3594,1397,1926,474.2,789.2,76.31,165.9,1.127,3.029
1332,2,13,6711,5657,5255,5558,3112,3738,1416,2002,481.6,820,77.75,172.2,1.148,3.149
1333,1,9,6481,5374,4992,5202,2955,3589,1348,2010,457.3,850.9,73.34,181.6,1.119,3.259
1333,1,10,6621,5634,5092,5442,3016,3763,1378,2113,468.8,894.6,75.5,191.5,1.153,3.432
1333,1,11,6743,5865,5177,5656,3068,3916,1405,2203,479,933.2,77.43,200.4,1.184,3.587
1333,1,12,6851,6072,5251,5847,3114,4053,1428,2283,488.1,967.5,79.19,208.4,1.212,3.726
1333,1,13,6947,6257,5316,6018,3154,4176,1449,2355,496.4,998.2,80.81,215.6,1.238,3.852
1333,2,9,6450,4806,5034,4861,2976,3233,1355,1706,461.2,697.9,74.53,144.2,1.119,2.584
1333,2,10,6589,5023,5134,5085,3037,3384,1385,1784,473.1,729.1,76.69,150.6,1.152,2.698
1333,2,11,6709,5217,5219,5284,3089,3519,1411,1855,483.6,757,78.63,156.5,1.182,2.803
1333,2,12,6814,5391,5292,5464,3134,3641,1435,1918,493.3,782,80.4,161.8,1.208,2.899
1333,2,13,6907,5547,5356,5625,3174,3751,1456,1976,502.1,804.5,82.03,166.7,1.233,2.987
1334,1,9,5850,2034,4611,2396,2691,1522,1197,778.7,388.6,312.3,58.27,64.3,0.82,1.079
1334,1,10,5987,2163,4718,2522,2753,1608,1225,824.4,397.9,330.3,59.71,67.66,0.8405,1.132
1334,1,11,6101,2281,4808,2639,2806,1686,1248,866.2,405.7,346.8,60.93,70.8,0.8581,1.181
1334,1,12,6199,2390,4883,2747,2850,1757,1268,904.5,412.4,362.1,61.98,73.71,0.8734,1.226
1334,1,13,6284,2489,4949,2847,2889,1822,1286,939.6,418.2,376.1,62.91,76.4,0.8868,1.268
1334,2,9,5734,1617,4574,2025,2662,1269,1175,655.8,376.4,263.9,55.76,55.07,0.7794,0.9127
1334,2,10,5869,1714,4681,2135,2725,1343,1202,696.5,385.3,280.7,57.1,58,0.7983,0.9563
1334,2,11,5982,1804,4771,2236,2777,1411,1225,733.9,392.8,296.3,58.22,60.78,0.8142,0.9974
1334,2,12,6078,1887,4847,2331,2821,1474,1245,768.3,399.1,310.6,59.17,63.38,0.8278,1.036
1334,2,13,6161,1964,4912,2418,2859,1531,1262,799.8,404.5,323.8,60,65.8,0.8396,1.072
1335,1,9,6456,6481,4941,6289,2928,4311,1334,2361,455.1,1001,73.75,207.8,1.146,3.798
1335,1,10,6594,6816,5044,6614,2990,4537,1362,2487,466.2,1055,76.09,218.8,1.185,3.998
1335,1,11,6713,7114,5132,6906,3043,4738,1387,2598,476.2,1102,78.24,228.4,1.222,4.175
1335,1,12,6819,7381,5210,7168,3090,4919,1408,2697,485.3,1144,80.25,237,1.256,4.333
1335,1,13,6914,7622,5278,7406,3131,5081,1427,2786,493.7,1181,82.13,244.7,1.288,4.475
1335,2,9,6502,6525,4968,6332,2954,4355,1355,2405,465.3,1012,75.6,210.5,1.173,3.798
1335,2,10,6645,6865,5073,6655,3019,4584,1386,2532,478,1066,78.06,221.2,1.214,3.995
1335,2,11,6769,7169,5162,6944,3075,4788,1414,2646,489.5,1114,80.28,230.7,1.251,4.17
1335,2,12,6880,7443,5241,7204,3125,4971,1439,2748,499.9,1156,82.3,239.1,1.284,4.326
1335,2,13,6981,7691,5312,7439,3169,5137,1462,2839,509.5,1194,84.14,246.6,1.314,4.466
1336,1,9,6047,3542,4817,3560,2837,2335,1280,1230,422.2,518.1,65.32,108.8,0.9438,1.896
1336,1,10,6185,3753,4926,3756,2902,2464,1310,1297,432.9,546.6,67.1,114.9,0.9704,2.001
1336,1,11,6301,3943,5017,3933,2957,2581,1336,1358,442.2,572.7,68.67,120.5,0.9936,2.097
1336,1,12,6400,4114,5094,4092,3004,2686,1358,1413,450.3,596.6,70.05,125.6,1.014,2.186
1336,1,13,6487,4269,5162,4237,3045,2782,1378,1463,457.6,618.4,71.29,130.3,1.033,2.268
1336,2,9,5948,3230,4713,3319,2764,2172,1240,1125,407.2,465.7,62.35,98.65,0.8883,1.662
1336,2,10,6085,3426,4822,3504,2829,2293,1269,1184,417.1,489.6,63.94,104,0.9115,1.749
1336,2,11,6201,3605,4914,3674,2883,2402,1294,1238,425.6,511.4,65.32,109,0.9314,1.83
1336,2,12,6300,3766,4992,3829,2930,2503,1315,1287,433,531.3,66.52,113.6,0.949,1.904
1336,2,13,6385,3912,5060,3971,2970,2594,1334,1332,439.4,549.5,67.59,117.7,0.9646,1.972
1337,1,9,6464,4577,5004,4735,2959,3192,1346,1721,456.6,719,73.35,151.6,1.117,2.716
1337,1,10,6599,4801,5101,4965,3017,3351,1373,1807,467.2,753.9,75.34,159.1,1.148,2.85
1337,1,11,6716,5003,5182,5171,3066,3494,1397,1884,476.5,784.9,77.13,165.9,1.176,2.97
1337,1,12,6819,5185,5251,5357,3108,3622,1418,1954,484.8,812.6,78.77,171.9,1.202,3.079
1337,1,13,6910,5350,5312,5525,3145,3737,1436,2016,492.3,837.4,80.28,177.4,1.225,3.178
1337,2,9,6397,4081,4942,4212,2911,2787,1322,1485,447.6,606.3,71.5,127.2,1.075,2.273
1337,2,10,6531,4288,5040,4406,2969,2920,1349,1559,457.7,635.4,73.28,133.2,1.102,2.379
1337,2,11,6645,4475,5122,4582,3018,3039,1373,1625,466.4,661.6,74.84,138.5,1.126,2.476
1337,2,12,6743,4644,5192,4742,3060,3147,1393,1686,474.1,685.3,76.23,143.4,1.148,2.565
1337,2,13,6830,4798,5252,4887,3096,3245,1411,1740,480.9,706.8,77.49,147.8,1.167,2.645
1338,1,9,5712,1875,4556,2147,2650,1360,1168,693.1,373.8,277.7,55.71,58.71,0.7806,1.024
1338,1,10,5848,1986,4664,2271,2713,1445,1196,737.5,382.7,293.2,57.07,61.68,0.7999,1.08
1338,1,11,5962,2087,4755,2388,2766,1524,1219,778.5,390.2,307.7,58.21,64.48,0.8161,1.133
1338,1,12,6059,2178,4832,2496,2811,1596,1239,816.1,396.6,321.1,59.19,67.1,0.83,1.182
1338,1,13,6142,2260,4899,2597,2849,1663,1256,850.5,402.1,333.4,60.03,69.54,0.8421,1.228
1338,2,9,5680,1533,4544,1866,2644,1156,1163,569.3,371.6,230.8,54.94,48.23,0.7633,0.8194
1338,2,10,5817,1617,4653,1965,2708,1226,1191,604,380.5,243.4,56.28,50.36,0.7821,0.8544
1338,2,11,5931,1693,4744,2057,2761,1290,1214,636.1,388,255,57.4,52.33,0.7979,0.8875
1338,2,12,6028,1763,4822,2144,2806,1349,1234,665.6,394.4,265.7,58.36,54.16,0.8114,0.9187
1338,2,13,6111,1826,4889,2225,2845,1404,1251,692.6,399.9,275.4,59.19,55.86,0.8231,0.9479
1339,1,9,6541,7900,5042,7283,3081,4893,1475,2627,515.7,1110,83.8,239.8,1.268,4.569
1339,1,10,6679,8270,5167,7613,3160,5135,1515,2764,530.1,1170,86.33,253,1.304,4.814
1339,1,11,6797,8609,5278,7915,3231,5358,1550,2889,543.1,1225,88.64,265.2,1.337,5.04
1339,1,12,6900,8919,5377,8191,3295,5564,1582,3003,555,1275,90.76,276.3,1.367,5.247
1339,1,13,6992,9202,5468,8445,3353,5752,1611,3108,565.9,1321,92.73,286.5,1.395,5.436
1339,2,9,6487,7563,4952,7001,3022,4706,1435,2520,498.4,1064,79.91,229.9,1.212,4.381
