Run,Turbine,Seed,meanU,Ti,alpha,HFlowAng,distBetweenWTG
73,1,1,13.4760904,15.3970003,0.119,-1.443,3
73,2,1,11.119318,17.8180828,0.119,-1.443,3
74,1,1,7.3011904,27.1779995,-0.211,-1.05,3
74,2,1,5.3029327,36.8741264,-0.211,-1.05,3
75,1,1,14.9093094,15.5539999,0.227,0.683,3
75,2,1,13.1235762,16.8432579,0.227,0.683,3
76,1,1,8.0451403,19.6429996,-0.078,-1.043,3
76,2,1,5.6310658,25.6819782,-0.078,-1.043,3
77,1,1,10.3609657,16.0890007,0.138,0.557,3
77,2,1,7.3450484,21.8312778,0.138,0.557,3
78,1,1,5.5218053,25.8470001,0.073,-2.425,3
78,2,1,4.1300859,35.1865654,0.073,-2.425,3
79,1,1,18.3906517,14.9359999,0.207,-0.483,3
79,2,1,17.1785393,15.5117826,0.207,-0.483,3
80,1,1,9.7835798,19.5860004,0.176,0.288,3
80,2,1,6.8305249,25.6920967,0.176,0.288,3
81,1,1,11.6224279,21.8330002,0.221,-0.484,3
81,2,1,8.7567883,25.7013111,0.221,-0.484,3
82,1,1,5.6009636,24.0429993,0.191,-2.8,3
82,2,1,4.0300937,29.1290321,0.191,-2.8,3
83,1,1,13.791048,15.6400003,-0.023,0.444,3
83,2,1,11.6029987,17.6589756,-0.023,0.444,3
84,1,1,7.125772,22.1030006,0.33,5.878,3
84,2,1,5.2911177,26.279789,0.33,5.878,3
85,1,1,11.6592512,17.2199993,-0.01,-1.826,3
85,2,1,8.8252182,21.0715752,-0.01,-1.826,3
86,1,1,4.4733558,25.3139992,0.025,-9.226,3
86,2,1,3.4855008,27.9068165,0.025,-9.226,3
87,1,1,23.0553093,14.8389997,0.169,-1.181,3
87,2,1,22.2489452,14.9994278,0.169,-1.181,3
88,1,1,8.8134861,15.5089998,0.06,-4.349,3
88,2,1,6.12816,21.7407761,0.06,-4.349,3
89,1,1,12.7047672,14.1599998,0.156,-1.296,3
89,2,1,9.9271812,17.8977451,0.156,-1.296,3
90,1,1,6.6805844,26.2169991,-0.026,4.528,3
90,2,1,4.9546547,35.7054024,-0.026,4.528,3
91,1,1,15.8536501,16.4290009,0.197,0.291,3
91,2,1,14.2528982,17.1947784,0.197,0.291,3
92,1,1,8.3201008,19.5030003,0.139,-5.341,3
92,2,1,6.0178366,24.6281204,0.139,-5.341,3
93,1,1,10.747591,14.7309999,0.125,1.876,3
93,2,1,7.4569974,21.102787,0.125,1.876,3
94,1,1,5.0998664,16.9319992,0.338,-6.261,3
94,2,1,3.6023266,22.7638016,0.338,-6.261,3
95,1,1,16.6522007,14.6610003,0.152,0.36,3
95,2,1,15.1514606,15.6825018,0.152,0.36,3
96,1,1,9.5040197,14.3520002,0.04,-0.879,3
96,2,1,6.4210086,21.528904,0.04,-0.879,3
97,1,1,12.2429972,15.448,0.164,1.21,3
97,2,1,9.467679,19.1083336,0.164,1.21,3
98,1,1,6.3240137,25.0720005,0.095,-0.348,3
98,2,1,4.7047253,34.5665855,0.095,-0.348,3
99,1,1,14.340086,17.4689999,0.143,-1.035,3
99,2,1,12.1870937,18.9827766,0.143,-1.035,3
100,1,1,7.6297984,20.4150009,0.249,-0.027,3
100,2,1,5.4264174,25.8937378,0.249,-0.027,3
101,1,1,10.5608654,17.4529991,0.307,3.115,3
101,2,1,7.5221443,23.0140095,0.307,3.115,3
102,1,1,4.2186394,23.7679996,0.017,-2.294,3
102,2,1,3.0258324,28.8815098,0.017,-2.294,3
103,1,1,18.588522,14.3950005,0.149,-0.342,3
103,2,1,17.3880959,15.1567211,0.149,-0.342,3
104,1,1,9.1669741,21.8299999,0.157,-0.491,3
104,2,1,6.6466398,26.5786648,0.157,-0.491,3
105,1,1,13.0872679,19.9529991,0.234,0.176,3
105,2,1,10.7184467,22.1158257,0.234,0.176,3
106,1,1,7.0591426,23.0760002,0.114,0.503,3
106,2,1,5.0339723,28.2249966,0.114,0.503,3
107,1,1,15.300313,11.7290001,0.151,-0.832,3
107,2,1,13.6439304,11.4603891,0.151,-0.832,3
108,1,1,8.1505108,18.7549992,0.254,-1.439,3
108,2,1,5.7339425,24.386425,0.254,-1.439,3
109,1,1,10.0083218,22.8059998,0.245,-1.341,3
109,2,1,7.1755457,27.9795284,0.245,-1.341,3
110,1,1,5.7899699,26.9120007,-0.099,-1.485,3
